date,link,situation(day),situation(night),temperature(day),temperature(night),wind(day),wind(night)
20161005,http://www.tianqihoubao.com/lishi/xian/20161005.html,阴,小雨,23℃,14℃,东风≤3级,西南风≤3级
20161006,http://www.tianqihoubao.com/lishi/xian/20161006.html,小雨,小到中雨,18℃,15℃,西南风≤3级,西南风≤3级
20161007,http://www.tianqihoubao.com/lishi/xian/20161007.html,小雨,多云,17℃,12℃,东北风≤3级,东北风≤3级
20161008,http://www.tianqihoubao.com/lishi/xian/20161008.html,多云,阴,21℃,13℃,东风≤3级,东风≤3级
20161009,http://www.tianqihoubao.com/lishi/xian/20161009.html,小雨,小雨,18℃,12℃,东风≤3级,东风≤3级
20161010,http://www.tianqihoubao.com/lishi/xian/20161010.html,小雨,阴,19℃,12℃,东风≤3级,东风≤3级
20161011,http://www.tianqihoubao.com/lishi/xian/20161011.html,小雨,阴,18℃,13℃,东风≤3级,东北风≤3级
20161012,http://www.tianqihoubao.com/lishi/xian/20161012.html,小雨,小雨,18℃,12℃,东北风≤3级,东北风≤3级
20161013,http://www.tianqihoubao.com/lishi/xian/20161013.html,阴,阴,19℃,13℃,东北风≤3级,东风≤3级
20161014,http://www.tianqihoubao.com/lishi/xian/20161014.html,小雨,小雨,19℃,12℃,西南风≤3级,西南风≤3级
20161015,http://www.tianqihoubao.com/lishi/xian/20161015.html,阴,晴,18℃,12℃,东风≤3级,东风≤3级
20161016,http://www.tianqihoubao.com/lishi/xian/20161016.html,阴,多云,23℃,12℃,东风≤3级,东风≤3级
20161017,http://www.tianqihoubao.com/lishi/xian/20161017.html,晴,晴,23℃,12℃,东北风≤3级,东北风≤3级
20161018,http://www.tianqihoubao.com/lishi/xian/20161018.html,晴,晴,24℃,12℃,东北风≤3级,东北风≤3级
20161019,http://www.tianqihoubao.com/lishi/xian/20161019.html,多云,多云,24℃,14℃,东北风≤3级,东风≤3级
20161020,http://www.tianqihoubao.com/lishi/xian/20161020.html,阴,多云,24℃,16℃,东风≤3级,东风≤3级
20161021,http://www.tianqihoubao.com/lishi/xian/20161021.html,小雨,小雨,20℃,15℃,东风≤3级,西南风≤3级
20161022,http://www.tianqihoubao.com/lishi/xian/20161022.html,小雨,小雨,16℃,12℃,东风≤3级,东风≤3级
20161023,http://www.tianqihoubao.com/lishi/xian/20161023.html,小雨,阴,16℃,10℃,东北风≤3级,西南风≤3级
20161024,http://www.tianqihoubao.com/lishi/xian/20161024.html,阵雨,多云,14℃,8℃,东北风≤3级,东风≤3级
20161025,http://www.tianqihoubao.com/lishi/xian/20161025.html,小雨,小雨,15℃,10℃,东北风≤3级,东北风≤3级
20161026,http://www.tianqihoubao.com/lishi/xian/20161026.html,小雨,小雨,13℃,9℃,东风≤3级,东风≤3级
20161027,http://www.tianqihoubao.com/lishi/xian/20161027.html,中雨,小雨,11℃,8℃,东风≤3级,东风≤3级
20161028,http://www.tianqihoubao.com/lishi/xian/20161028.html,阴,阴,11℃,8℃,东风≤3级,东风≤3级
20161029,http://www.tianqihoubao.com/lishi/xian/20161029.html,晴,晴,12℃,7℃,东风≤3级,东风≤3级
20161030,http://www.tianqihoubao.com/lishi/xian/20161030.html,阴,阴,13℃,8℃,东风≤3级,东风≤3级
20161031,http://www.tianqihoubao.com/lishi/xian/20161031.html,多云,多云,16℃,10℃,东风≤3级,东风≤3级
20160301,http://www.tianqihoubao.com/lishi/xian/20160301.html,晴,阴,12℃,3℃,无持续风向≤3级,东北风≤3级
20160302,http://www.tianqihoubao.com/lishi/xian/20160302.html,多云,晴,20℃,5℃,东北风≤3级,东北风≤3级
20160303,http://www.tianqihoubao.com/lishi/xian/20160303.html,晴,多云,20℃,6℃,东北风≤3级,北风≤3级
20160304,http://www.tianqihoubao.com/lishi/xian/20160304.html,多云,多云,18℃,5℃,东北风≤3级,西北风≤3级
20160305,http://www.tianqihoubao.com/lishi/xian/20160305.html,霾,多云,14℃,4℃,北风≤3级,东北风≤3级
20160306,http://www.tianqihoubao.com/lishi/xian/20160306.html,多云,多云,16℃,8℃,东北风≤3级,东北风≤3级
20160307,http://www.tianqihoubao.com/lishi/xian/20160307.html,阴,阴,11℃,6℃,东风≤3级,东北风≤3级
20160308,http://www.tianqihoubao.com/lishi/xian/20160308.html,阴,小雨,10℃,4℃,东风≤3级,东北风≤3级
20160309,http://www.tianqihoubao.com/lishi/xian/20160309.html,小雨,阴,4℃,0℃,东风≤3级,东北风≤3级
20160310,http://www.tianqihoubao.com/lishi/xian/20160310.html,多云,多云,7℃,-1℃,东北风≤3级,东北风≤3级
20160311,http://www.tianqihoubao.com/lishi/xian/20160311.html,晴,多云,11℃,2℃,东北风≤3级,东北风≤3级
20160312,http://www.tianqihoubao.com/lishi/xian/20160312.html,多云,多云,13℃,6℃,东北风≤3级,东北风≤3级
20160313,http://www.tianqihoubao.com/lishi/xian/20160313.html,晴,晴,16℃,3℃,东北风≤3级,东北风≤3级
20160314,http://www.tianqihoubao.com/lishi/xian/20160314.html,阴,阴,14℃,7℃,西南风≤3级,东北风≤3级
20160315,http://www.tianqihoubao.com/lishi/xian/20160315.html,阴,多云,14℃,8℃,西南风≤3级,东风≤3级
20160316,http://www.tianqihoubao.com/lishi/xian/20160316.html,小雨,阴,15℃,8℃,东风≤3级,东风≤3级
20160317,http://www.tianqihoubao.com/lishi/xian/20160317.html,阴,阴,16℃,7℃,东风≤3级,东北风≤3级
20160318,http://www.tianqihoubao.com/lishi/xian/20160318.html,多云,晴,20℃,9℃,东北风≤3级,东北风≤3级
20160319,http://www.tianqihoubao.com/lishi/xian/20160319.html,晴,阴,20℃,12℃,东北风≤3级,东风≤3级
20160320,http://www.tianqihoubao.com/lishi/xian/20160320.html,小雨,小雨,16℃,12℃,西南风≤3级,西南风≤3级
20160321,http://www.tianqihoubao.com/lishi/xian/20160321.html,阴,阴,15℃,10℃,东风≤3级,南风≤3级
20160322,http://www.tianqihoubao.com/lishi/xian/20160322.html,阴,小雨,14℃,10℃,西南风≤3级,东风≤3级
20160323,http://www.tianqihoubao.com/lishi/xian/20160323.html,阴,霾,13℃,8℃,西南风≤3级,西南风≤3级
20160324,http://www.tianqihoubao.com/lishi/xian/20160324.html,阴,阴,15℃,7℃,东风≤3级,东风≤3级
20160325,http://www.tianqihoubao.com/lishi/xian/20160325.html,阴,阴,14℃,5℃,西南风≤3级,东北风≤3级
20160326,http://www.tianqihoubao.com/lishi/xian/20160326.html,晴,晴,17℃,3℃,东北风≤3级,东北风≤3级
20160327,http://www.tianqihoubao.com/lishi/xian/20160327.html,晴,多云,20℃,6℃,东北风≤3级,东北风≤3级
20160328,http://www.tianqihoubao.com/lishi/xian/20160328.html,多云,多云,22℃,10℃,东北风≤3级,东北风≤3级
20160329,http://www.tianqihoubao.com/lishi/xian/20160329.html,阴,多云,23℃,10℃,东风≤3级,东北风≤3级
20160330,http://www.tianqihoubao.com/lishi/xian/20160330.html,多云,多云,25℃,11℃,东北风≤3级,东北风≤3级
20160331,http://www.tianqihoubao.com/lishi/xian/20160331.html,晴,晴,26℃,11℃,东北风≤3级,东北风≤3级
20160201,http://www.tianqihoubao.com/lishi/xian/20160201.html,阴,晴,1℃,-6℃,东北风≤3级,东北风≤3级
20160202,http://www.tianqihoubao.com/lishi/xian/20160202.html,晴,晴,4℃,-5℃,东北风≤3级,东北风≤3级
20160203,http://www.tianqihoubao.com/lishi/xian/20160203.html,多云,阴,6℃,-3℃,东北风≤3级,东北风≤3级
20160204,http://www.tianqihoubao.com/lishi/xian/20160204.html,多云,晴,9℃,-1℃,南风≤3级,南风≤3级
20160205,http://www.tianqihoubao.com/lishi/xian/20160205.html,晴,晴,9℃,-3℃,东北风≤3级,西北风≤3级
20160206,http://www.tianqihoubao.com/lishi/xian/20160206.html,晴,晴,7℃,-2℃,西北风≤3级,东北风≤3级
20160207,http://www.tianqihoubao.com/lishi/xian/20160207.html,晴,晴,13℃,-2℃,东北风≤3级,东北风≤3级
20160208,http://www.tianqihoubao.com/lishi/xian/20160208.html,晴,霾,13℃,-1℃,东北风≤3级,东北风≤3级
20160209,http://www.tianqihoubao.com/lishi/xian/20160209.html,多云,霾,14℃,2℃,东北风≤3级,西南风≤3级
20160210,http://www.tianqihoubao.com/lishi/xian/20160210.html,阴,霾,11℃,4℃,西南风≤3级,东北风≤3级
20160211,http://www.tianqihoubao.com/lishi/xian/20160211.html,阴,小雨,14℃,4℃,东北风≤3级,西风≤3级
20160212,http://www.tianqihoubao.com/lishi/xian/20160212.html,小雨,小雨,8℃,2℃,西风≤3级,东风≤3级
20160213,http://www.tianqihoubao.com/lishi/xian/20160213.html,阴,阴,6℃,-3℃,东风≤3级,西风≤3级
20160214,http://www.tianqihoubao.com/lishi/xian/20160214.html,阴,晴,3℃,-4℃,西风≤3级,西南风≤3级
