date,link,situation,temperature,wind
2016年04月30日,http://www.tianqihoubao.com/lishi/xian/20160430.html,晴/多云,30℃/18℃,东北风≤3级/东北风≤3级
2016年05月01日,http://www.tianqihoubao.com/lishi/xian/20160501.html,多云/多云,30℃/20℃,东北风≤3级/东风≤3级
2016年05月02日,http://www.tianqihoubao.com/lishi/xian/20160502.html,晴/晴,27℃/13℃,北风≤3级/东北风≤3级
2016年05月03日,http://www.tianqihoubao.com/lishi/xian/20160503.html,晴/晴,26℃/16℃,东风≤3级/东北风≤3级
2016年05月04日,http://www.tianqihoubao.com/lishi/xian/20160504.html,多云/多云,32℃/20℃,东北风≤3级/东北风≤3级
2016年05月05日,http://www.tianqihoubao.com/lishi/xian/20160505.html,晴/晴,28℃/20℃,东北风3-4级/东风≤3级
2016年05月06日,http://www.tianqihoubao.com/lishi/xian/20160506.html,阴/阴,25℃/17℃,东风≤3级/东风≤3级
2016年05月07日,http://www.tianqihoubao.com/lishi/xian/20160507.html,小雨/小雨,22℃/11℃,西南风≤3级/东风≤3级
2016年05月08日,http://www.tianqihoubao.com/lishi/xian/20160508.html,多云/多云,21℃/14℃,东北风≤3级/东北风≤3级
2016年05月09日,http://www.tianqihoubao.com/lishi/xian/20160509.html,晴/晴,27℃/18℃,东北风≤3级/东北风≤3级
2016年05月10日,http://www.tianqihoubao.com/lishi/xian/20160510.html,晴/晴,32℃/18℃,东北风≤3级/东风≤3级
2016年05月11日,http://www.tianqihoubao.com/lishi/xian/20160511.html,晴/多云,34℃/21℃,东风≤3级/东风≤3级
2016年05月12日,http://www.tianqihoubao.com/lishi/xian/20160512.html,阴/霾,24℃/16℃,东风≤3级/西南风≤3级
2016年05月13日,http://www.tianqihoubao.com/lishi/xian/20160513.html,小雨/小到中雨,21℃/13℃,东北风≤3级/西南风≤3级
2016年05月14日,http://www.tianqihoubao.com/lishi/xian/20160514.html,中雨/阴,13℃/10℃,西南风≤3级/东北风≤3级
2016年05月15日,http://www.tianqihoubao.com/lishi/xian/20160515.html,晴/晴,24℃/12℃,东北风≤3级/东北风≤3级
2016年05月16日,http://www.tianqihoubao.com/lishi/xian/20160516.html,晴/多云,26℃/15℃,东北风≤3级/东风≤3级
2016年05月17日,http://www.tianqihoubao.com/lishi/xian/20160517.html,阴/阴,27℃/18℃,东风≤3级/东风≤3级
2016年05月18日,http://www.tianqihoubao.com/lishi/xian/20160518.html,多云/多云,28℃/19℃,东风≤3级/东风≤3级
2016年05月19日,http://www.tianqihoubao.com/lishi/xian/20160519.html,多云/阴,26℃/18℃,东风≤3级/东风≤3级
2016年05月20日,http://www.tianqihoubao.com/lishi/xian/20160520.html,多云/晴,26℃/18℃,东风≤3级/东风≤3级
2016年05月21日,http://www.tianqihoubao.com/lishi/xian/20160521.html,多云/多云,26℃/19℃,东风≤3级/东风≤3级
2016年05月22日,http://www.tianqihoubao.com/lishi/xian/20160522.html,阴/小雨,24℃/16℃,东风≤3级/东风≤3级
2016年05月23日,http://www.tianqihoubao.com/lishi/xian/20160523.html,阴/晴,24℃/15℃,东风≤3级/东风≤3级
2016年05月24日,http://www.tianqihoubao.com/lishi/xian/20160524.html,晴/阴,29℃/16℃,东风≤3级/西南风≤3级
2016年05月25日,http://www.tianqihoubao.com/lishi/xian/20160525.html,阴/小雨,21℃/13℃,东风≤3级/东风≤3级
2016年05月26日,http://www.tianqihoubao.com/lishi/xian/20160526.html,小雨/小雨,18℃/13℃,西南风≤3级/东风≤3级
2016年05月27日,http://www.tianqihoubao.com/lishi/xian/20160527.html,小雨/阴,17℃/13℃,东风≤3级/东风≤3级
2016年05月28日,http://www.tianqihoubao.com/lishi/xian/20160528.html,多云/晴,25℃/15℃,东风≤3级/东风≤3级
2016年05月29日,http://www.tianqihoubao.com/lishi/xian/20160529.html,晴/多云,28℃/18℃,东北风≤3级/东北风≤3级
2016年05月30日,http://www.tianqihoubao.com/lishi/xian/20160530.html,多云/小雨,29℃/21℃,东北风≤3级/东风≤3级
2016年05月31日,http://www.tianqihoubao.com/lishi/xian/20160531.html,小雨/小雨,26℃/22℃,东风≤3级/东风≤3级
2016年06月01日,http://www.tianqihoubao.com/lishi/xian/20160601.html,中雨/中雨,24℃/17℃,东风≤3级/东风≤3级
2016年06月02日,http://www.tianqihoubao.com/lishi/xian/20160602.html,小雨/多云,19℃/14℃,西南风≤3级/东风≤3级
2016年06月03日,http://www.tianqihoubao.com/lishi/xian/20160603.html,多云/晴,28℃/18℃,东北风≤3级/东北风≤3级
2016年06月04日,http://www.tianqihoubao.com/lishi/xian/20160604.html,阴/多云,31℃/21℃,东风≤3级/东风≤3级
2016年06月05日,http://www.tianqihoubao.com/lishi/xian/20160605.html,多云/晴,33℃/21℃,东北风≤3级/东风≤3级
2016年06月06日,http://www.tianqihoubao.com/lishi/xian/20160606.html,多云/阴,31℃/22℃,东风≤3级/东风≤3级
2016年06月07日,http://www.tianqihoubao.com/lishi/xian/20160607.html,阵雨/多云,31℃/20℃,东北风≤3级/东北风≤3级
2016年06月08日,http://www.tianqihoubao.com/lishi/xian/20160608.html,阴/多云,31℃/21℃,东风≤3级/东北风≤3级
2016年06月09日,http://www.tianqihoubao.com/lishi/xian/20160609.html,阴/多云,32℃/22℃,东北风≤3级/东北风≤3级
2016年06月10日,http://www.tianqihoubao.com/lishi/xian/20160610.html,多云/多云,35℃/23℃,东北风≤3级/东北风≤3级
2016年06月11日,http://www.tianqihoubao.com/lishi/xian/20160611.html,雷阵雨/阵雨,34℃/22℃,东北风≤3级/东北风≤3级
2016年06月12日,http://www.tianqihoubao.com/lishi/xian/20160612.html,多云/晴,32℃/21℃,东风≤3级/东风≤3级
2016年06月13日,http://www.tianqihoubao.com/lishi/xian/20160613.html,晴/多云,36℃/22℃,东北风≤3级/东北风≤3级
2016年06月14日,http://www.tianqihoubao.com/lishi/xian/20160614.html,多云/多云,31℃/20℃,东北风≤3级/东北风≤3级
2016年06月15日,http://www.tianqihoubao.com/lishi/xian/20160615.html,多云/晴,31℃/20℃,东北风≤3级/东北风≤3级
2016年06月16日,http://www.tianqihoubao.com/lishi/xian/20160616.html,晴/晴,34℃/22℃,东北风≤3级/东北风≤3级
2016年06月17日,http://www.tianqihoubao.com/lishi/xian/20160617.html,晴/多云,37℃/24℃,东北风≤3级/东北风≤3级
2016年06月18日,http://www.tianqihoubao.com/lishi/xian/20160618.html,晴/多云,37℃/26℃,东北风≤3级/东北风≤3级
2016年06月19日,http://www.tianqihoubao.com/lishi/xian/20160619.html,晴/晴,36℃/26℃,东风≤3级/东北风≤3级
2016年06月20日,http://www.tianqihoubao.com/lishi/xian/20160620.html,多云/多云,36℃/27℃,东风≤3级/东风≤3级
2016年06月21日,http://www.tianqihoubao.com/lishi/xian/20160621.html,多云/多云,34℃/26℃,东北风≤3级/东北风≤3级
2016年06月22日,http://www.tianqihoubao.com/lishi/xian/20160622.html,多云/大雨,35℃/24℃,东风≤3级/东风≤3级
2016年06月23日,http://www.tianqihoubao.com/lishi/xian/20160623.html,中到大雨/阴,27℃/20℃,东北风≤3级/东北风≤3级
2016年06月24日,http://www.tianqihoubao.com/lishi/xian/20160624.html,多云/多云,28℃/21℃,东风≤3级/东风≤3级
2016年06月25日,http://www.tianqihoubao.com/lishi/xian/20160625.html,晴/阴,32℃/21℃,东北风≤3级/东北风≤3级
2016年06月26日,http://www.tianqihoubao.com/lishi/xian/20160626.html,阴/多云,31℃/21℃,东风≤3级/东北风≤3级
2016年06月27日,http://www.tianqihoubao.com/lishi/xian/20160627.html,多云/晴,33℃/23℃,东风≤3级/东北风≤3级
2016年06月28日,http://www.tianqihoubao.com/lishi/xian/20160628.html,晴/晴,35℃/25℃,东北风≤3级/东风≤3级
2016年06月29日,http://www.tianqihoubao.com/lishi/xian/20160629.html,晴/多云,37℃/25℃,东北风≤3级/东北风≤3级
2016年06月30日,http://www.tianqihoubao.com/lishi/xian/20160630.html,中雨/多云,28℃/24℃,东风≤3级/东风≤3级
2016年10月01日,http://www.tianqihoubao.com/lishi/xian/20161001.html,晴/晴,27℃/16℃,东北风≤3级/东风≤3级
2016年10月02日,http://www.tianqihoubao.com/lishi/xian/20161002.html,晴/晴,30℃/17℃,东风≤3级/东风≤3级
2016年10月03日,http://www.tianqihoubao.com/lishi/xian/20161003.html,多云/多云,30℃/17℃,东风≤3级/东风≤3级
2016年10月04日,http://www.tianqihoubao.com/lishi/xian/20161004.html,多云/多云,23℃/15℃,东风≤3级/东风≤3级
2016年10月05日,http://www.tianqihoubao.com/lishi/xian/20161005.html,阴/小雨,23℃/14℃,东风≤3级/西南风≤3级
2016年10月06日,http://www.tianqihoubao.com/lishi/xian/20161006.html,小雨/小到中雨,18℃/15℃,西南风≤3级/西南风≤3级
2016年10月07日,http://www.tianqihoubao.com/lishi/xian/20161007.html,小雨/多云,17℃/12℃,东北风≤3级/东北风≤3级
2016年10月08日,http://www.tianqihoubao.com/lishi/xian/20161008.html,多云/阴,21℃/13℃,东风≤3级/东风≤3级
2016年10月09日,http://www.tianqihoubao.com/lishi/xian/20161009.html,小雨/小雨,18℃/12℃,东风≤3级/东风≤3级
2016年10月10日,http://www.tianqihoubao.com/lishi/xian/20161010.html,小雨/阴,19℃/12℃,东风≤3级/东风≤3级
2016年10月11日,http://www.tianqihoubao.com/lishi/xian/20161011.html,小雨/阴,18℃/13℃,东风≤3级/东北风≤3级
2016年10月12日,http://www.tianqihoubao.com/lishi/xian/20161012.html,小雨/小雨,18℃/12℃,东北风≤3级/东北风≤3级
2016年10月13日,http://www.tianqihoubao.com/lishi/xian/20161013.html,阴/阴,19℃/13℃,东北风≤3级/东风≤3级
2016年10月14日,http://www.tianqihoubao.com/lishi/xian/20161014.html,小雨/小雨,19℃/12℃,西南风≤3级/西南风≤3级
2016年10月15日,http://www.tianqihoubao.com/lishi/xian/20161015.html,阴/晴,18℃/12℃,东风≤3级/东风≤3级
2016年10月16日,http://www.tianqihoubao.com/lishi/xian/20161016.html,阴/多云,23℃/12℃,东风≤3级/东风≤3级
2016年10月17日,http://www.tianqihoubao.com/lishi/xian/20161017.html,晴/晴,23℃/12℃,东北风≤3级/东北风≤3级
2016年10月18日,http://www.tianqihoubao.com/lishi/xian/20161018.html,晴/晴,24℃/12℃,东北风≤3级/东北风≤3级
2016年10月19日,http://www.tianqihoubao.com/lishi/xian/20161019.html,多云/多云,24℃/14℃,东北风≤3级/东风≤3级
2016年10月20日,http://www.tianqihoubao.com/lishi/xian/20161020.html,阴/多云,24℃/16℃,东风≤3级/东风≤3级
2016年10月21日,http://www.tianqihoubao.com/lishi/xian/20161021.html,小雨/小雨,20℃/15℃,东风≤3级/西南风≤3级
2016年10月22日,http://www.tianqihoubao.com/lishi/xian/20161022.html,小雨/小雨,16℃/12℃,东风≤3级/东风≤3级
2016年10月23日,http://www.tianqihoubao.com/lishi/xian/20161023.html,小雨/阴,16℃/10℃,东北风≤3级/西南风≤3级
2016年10月24日,http://www.tianqihoubao.com/lishi/xian/20161024.html,阵雨/多云,14℃/8℃,东北风≤3级/东风≤3级
2016年10月25日,http://www.tianqihoubao.com/lishi/xian/20161025.html,小雨/小雨,15℃/10℃,东北风≤3级/东北风≤3级
2016年10月26日,http://www.tianqihoubao.com/lishi/xian/20161026.html,小雨/小雨,13℃/9℃,东风≤3级/东风≤3级
2016年10月27日,http://www.tianqihoubao.com/lishi/xian/20161027.html,中雨/小雨,11℃/8℃,东风≤3级/东风≤3级
2016年10月28日,http://www.tianqihoubao.com/lishi/xian/20161028.html,阴/阴,11℃/8℃,东风≤3级/东风≤3级
2016年10月29日,http://www.tianqihoubao.com/lishi/xian/20161029.html,晴/晴,12℃/7℃,东风≤3级/东风≤3级
2016年10月30日,http://www.tianqihoubao.com/lishi/xian/20161030.html,阴/阴,13℃/8℃,东风≤3级/东风≤3级
2016年10月31日,http://www.tianqihoubao.com/lishi/xian/20161031.html,多云/多云,16℃/10℃,东风≤3级/东风≤3级
2016年01月01日,http://www.tianqihoubao.com/lishi/xian/20160101.html,霾/霾,12℃/-1℃,东北风≤3级/西南风≤3级
2016年01月02日,http://www.tianqihoubao.com/lishi/xian/20160102.html,霾/霾,12℃/-1℃,东北风≤3级/东北风≤3级
2016年01月03日,http://www.tianqihoubao.com/lishi/xian/20160103.html,霾/霾,10℃/0℃,东北风≤3级/东风≤3级
2016年01月04日,http://www.tianqihoubao.com/lishi/xian/20160104.html,霾/霾,10℃/1℃,东北风≤3级/东北风≤3级
2016年01月05日,http://www.tianqihoubao.com/lishi/xian/20160105.html,霾/霾,4℃/-1℃,东北风≤3级/东北风≤3级
2016年01月06日,http://www.tianqihoubao.com/lishi/xian/20160106.html,霾/霾,4℃/-2℃,东北风≤3级/东北风≤3级
2016年01月07日,http://www.tianqihoubao.com/lishi/xian/20160107.html,霾/多云,4℃/-2℃,东北风≤3级/北风≤3级
2016年01月08日,http://www.tianqihoubao.com/lishi/xian/20160108.html,阴/霾,3℃/-3℃,东北风≤3级/东北风≤3级
2016年01月09日,http://www.tianqihoubao.com/lishi/xian/20160109.html,霾/阴,4℃/-2℃,东北风≤3级/西南风≤3级
2016年01月10日,http://www.tianqihoubao.com/lishi/xian/20160110.html,霾/霾,6℃/-2℃,西南风≤3级/西南风≤3级
2016年01月11日,http://www.tianqihoubao.com/lishi/xian/20160111.html,多云/雨夹雪,4℃/0℃,西南风≤3级/西南风≤3级
2016年01月12日,http://www.tianqihoubao.com/lishi/xian/20160112.html,小雪/多云,2℃/-3℃,西南风≤3级/东北风≤3级
2016年01月13日,http://www.tianqihoubao.com/lishi/xian/20160113.html,晴/霾,4℃/-3℃,东北风≤3级/东北风≤3级
2016年01月14日,http://www.tianqihoubao.com/lishi/xian/20160114.html,晴/晴,6℃/-4℃,东北风≤3级/东风≤3级
2016年01月15日,http://www.tianqihoubao.com/lishi/xian/20160115.html,晴/多云,8℃/-3℃,东北风≤3级/东北风≤3级
2016年01月16日,http://www.tianqihoubao.com/lishi/xian/20160116.html,多云/多云,8℃/-4℃,东北风≤3级/东北风≤3级
2016年01月17日,http://www.tianqihoubao.com/lishi/xian/20160117.html,晴/晴,7℃/-2℃,东北风≤3级/东风≤3级
2016年01月18日,http://www.tianqihoubao.com/lishi/xian/20160118.html,晴/晴,4℃/-5℃,东北风≤3级/东北风≤3级
2016年01月19日,http://www.tianqihoubao.com/lishi/xian/20160119.html,阴/小雪,3℃/-3℃,东北风≤3级/西南风≤3级
2016年01月20日,http://www.tianqihoubao.com/lishi/xian/20160120.html,小雪/阴,2℃/-4℃,东北风≤3级/东北风≤3级
2016年01月21日,http://www.tianqihoubao.com/lishi/xian/20160121.html,阴/小雪,4℃/-2℃,东风≤3级/北风≤3级
2016年01月22日,http://www.tianqihoubao.com/lishi/xian/20160122.html,阴/多云,2℃/-7℃,北风3-4级/西北风3-4级
2016年01月23日,http://www.tianqihoubao.com/lishi/xian/20160123.html,晴/晴,1℃/-12℃,西北风≤3级/西风≤3级
2016年01月24日,http://www.tianqihoubao.com/lishi/xian/20160124.html,晴/晴,-2℃/-10℃,西风≤3级/东北风≤3级
2016年01月25日,http://www.tianqihoubao.com/lishi/xian/20160125.html,晴/晴,2℃/-9℃,西北风≤3级/东北风≤3级
2016年01月26日,http://www.tianqihoubao.com/lishi/xian/20160126.html,晴/晴,2℃/-8℃,东北风≤3级/东北风≤3级
2016年01月27日,http://www.tianqihoubao.com/lishi/xian/20160127.html,多云/多云,2℃/-4℃,东北风≤3级/东北风≤3级
2016年01月28日,http://www.tianqihoubao.com/lishi/xian/20160128.html,多云/多云,5℃/-4℃,西南风≤3级/东北风≤3级
2016年01月29日,http://www.tianqihoubao.com/lishi/xian/20160129.html,阴/小雪,6℃/-3℃,西南风≤3级/西南风≤3级
2016年01月30日,http://www.tianqihoubao.com/lishi/xian/20160130.html,雨夹雪/雨夹雪,4℃/-2℃,西南风≤3级/东风≤3级
2016年01月31日,http://www.tianqihoubao.com/lishi/xian/20160131.html,小雪/阴,2℃/-5℃,西南风≤3级/东北风≤3级
2016年07月01日,http://www.tianqihoubao.com/lishi/xian/20160701.html,多云/晴,36℃/24℃,东风≤3级/东风≤3级
2016年07月02日,http://www.tianqihoubao.com/lishi/xian/20160702.html,多云/多云,36℃/24℃,东风≤3级/东北风≤3级
2016年07月03日,http://www.tianqihoubao.com/lishi/xian/20160703.html,多云/多云,36℃/23℃,东北风≤3级/东风≤3级
2016年07月04日,http://www.tianqihoubao.com/lishi/xian/20160704.html,晴/晴,36℃/24℃,东风≤3级/东风≤3级
2016年07月05日,http://www.tianqihoubao.com/lishi/xian/20160705.html,晴/晴,35℃/24℃,东北风≤3级/东北风≤3级
2016年07月06日,http://www.tianqihoubao.com/lishi/xian/20160706.html,多云/多云,33℃/25℃,东北风≤3级/东风≤3级
2016年07月07日,http://www.tianqihoubao.com/lishi/xian/20160707.html,阴/阴,31℃/25℃,东风≤3级/东风≤3级
2016年07月08日,http://www.tianqihoubao.com/lishi/xian/20160708.html,阵雨/多云,34℃/28℃,东风≤3级/东风≤3级
2016年07月09日,http://www.tianqihoubao.com/lishi/xian/20160709.html,多云/多云,36℃/27℃,东北风≤3级/东北风≤3级
2016年07月10日,http://www.tianqihoubao.com/lishi/xian/20160710.html,阵雨/小雨,33℃/25℃,东风≤3级/东风≤3级
2016年07月11日,http://www.tianqihoubao.com/lishi/xian/20160711.html,阴/多云,32℃/25℃,东风≤3级/东风≤3级
2016年07月12日,http://www.tianqihoubao.com/lishi/xian/20160712.html,阴/小雨,30℃/23℃,东北风≤3级/东北风≤3级
2016年07月13日,http://www.tianqihoubao.com/lishi/xian/20160713.html,小雨/小到中雨,30℃/21℃,东风≤3级/东风≤3级
2016年07月14日,http://www.tianqihoubao.com/lishi/xian/20160714.html,中雨/多云,24℃/18℃,东北风≤3级/东风≤3级
2016年07月15日,http://www.tianqihoubao.com/lishi/xian/20160715.html,晴/晴,33℃/22℃,东风≤3级/东北风≤3级
2016年07月16日,http://www.tianqihoubao.com/lishi/xian/20160716.html,晴/多云,36℃/23℃,东北风≤3级/东北风≤3级
2016年07月17日,http://www.tianqihoubao.com/lishi/xian/20160717.html,多云/阴,35℃/24℃,东风≤3级/东风≤3级
2016年07月18日,http://www.tianqihoubao.com/lishi/xian/20160718.html,小雨/中雨,31℃/23℃,东风≤3级/东风≤3级
2016年07月19日,http://www.tianqihoubao.com/lishi/xian/20160719.html,小到中雨/多云,30℃/22℃,东风≤3级/东风≤3级
2016年07月20日,http://www.tianqihoubao.com/lishi/xian/20160720.html,多云/多云,33℃/24℃,东风≤3级/东北风≤3级
2016年07月21日,http://www.tianqihoubao.com/lishi/xian/20160721.html,多云/晴,35℃/25℃,东风≤3级/东风≤3级
2016年07月22日,http://www.tianqihoubao.com/lishi/xian/20160722.html,多云/阴,34℃/24℃,东风≤3级/东风≤3级
2016年07月23日,http://www.tianqihoubao.com/lishi/xian/20160723.html,多云/多云,34℃/26℃,东北风≤3级/东风≤3级
2016年07月24日,http://www.tianqihoubao.com/lishi/xian/20160724.html,多云/阵雨,36℃/25℃,东风≤3级/东风≤3级
2016年07月25日,http://www.tianqihoubao.com/lishi/xian/20160725.html,小雨/阴,30℃/23℃,东风≤3级/东北风≤3级
2016年07月26日,http://www.tianqihoubao.com/lishi/xian/20160726.html,小雨/小到中雨,30℃/24℃,东风≤3级/东风≤3级
2016年07月27日,http://www.tianqihoubao.com/lishi/xian/20160727.html,多云/晴,35℃/24℃,东风≤3级/东风≤3级
2016年07月28日,http://www.tianqihoubao.com/lishi/xian/20160728.html,晴/晴,37℃/25℃,东北风≤3级/东北风≤3级
2016年07月29日,http://www.tianqihoubao.com/lishi/xian/20160729.html,多云/晴,36℃/26℃,东风≤3级/东风≤3级
2016年07月30日,http://www.tianqihoubao.com/lishi/xian/20160730.html,多云/阵雨,34℃/26℃,东风≤3级/东风≤3级
2016年07月31日,http://www.tianqihoubao.com/lishi/xian/20160731.html,阵雨/多云,34℃/24℃,东风≤3级/东风≤3级
2017年02月01日,http://www.tianqihoubao.com/lishi/xian/20170201.html,多云/阴,6℃/-1℃,东风≤3级/东风≤3级
2017年02月02日,http://www.tianqihoubao.com/lishi/xian/20170202.html,阴/多云,6℃/0℃,东风≤3级/东风≤3级
2017年02月03日,http://www.tianqihoubao.com/lishi/xian/20170203.html,多云/晴,8℃/-1℃,东北风≤3级/东北风≤3级
2017年02月04日,http://www.tianqihoubao.com/lishi/xian/20170204.html,晴/多云,10℃/1℃,东北风≤3级/东北风≤3级
2017年02月05日,http://www.tianqihoubao.com/lishi/xian/20170205.html,晴/多云,11℃/2℃,东北风≤3级/东北风≤3级
2017年02月06日,http://www.tianqihoubao.com/lishi/xian/20170206.html,阴/雨夹雪,7℃/2℃,东北风≤3级/东北风≤3级
2017年02月07日,http://www.tianqihoubao.com/lishi/xian/20170207.html,小到中雪/小雨,3℃/-1℃,东北风≤3级/东北风≤3级
2017年02月08日,http://www.tianqihoubao.com/lishi/xian/20170208.html,阴/晴,5℃/-3℃,东北风≤3级/东北风≤3级
2017年02月09日,http://www.tianqihoubao.com/lishi/xian/20170209.html,晴/晴,6℃/-4℃,东北风≤3级/东北风≤3级
2017年02月10日,http://www.tianqihoubao.com/lishi/xian/20170210.html,多云/多云,7℃/-2℃,东北风≤3级/东北风≤3级
2017年02月11日,http://www.tianqihoubao.com/lishi/xian/20170211.html,晴/晴,10℃/-1℃,东北风≤3级/东北风≤3级
2017年02月12日,http://www.tianqihoubao.com/lishi/xian/20170212.html,晴/晴,12℃/0℃,东北风≤3级/东北风≤3级
2017年02月13日,http://www.tianqihoubao.com/lishi/xian/20170213.html,多云/阴,13℃/2℃,东北风≤3级/东北风≤3级
2017年02月14日,http://www.tianqihoubao.com/lishi/xian/20170214.html,阴/多云,13℃/3℃,东风≤3级/东风≤3级
2017年02月15日,http://www.tianqihoubao.com/lishi/xian/20170215.html,多云/多云,15℃/3℃,东北风≤3级/东北风≤3级
2017年02月16日,http://www.tianqihoubao.com/lishi/xian/20170216.html,晴/多云,16℃/3℃,东北风≤3级/东北风≤3级
2017年02月17日,http://www.tianqihoubao.com/lishi/xian/20170217.html,晴/晴,14℃/3℃,东北风≤3级/东北风≤3级
2017年02月18日,http://www.tianqihoubao.com/lishi/xian/20170218.html,晴/晴,17℃/5℃,东北风≤3级/东北风≤3级
2017年02月19日,http://www.tianqihoubao.com/lishi/xian/20170219.html,晴/阴,18℃/3℃,东北风≤3级/东北风≤3级
2017年02月20日,http://www.tianqihoubao.com/lishi/xian/20170220.html,阴/小雨,11℃/1℃,东风≤3级/东风≤3级
2017年02月21日,http://www.tianqihoubao.com/lishi/xian/20170221.html,中雪/阴,3℃/-2℃,西南风≤3级/西南风≤3级
2017年02月22日,http://www.tianqihoubao.com/lishi/xian/20170222.html,阴/多云,8℃/1℃,东北风≤3级/东北风≤3级
2017年02月23日,http://www.tianqihoubao.com/lishi/xian/20170223.html,多云/晴,8℃/0℃,东北风≤3级/东北风≤3级
2017年02月24日,http://www.tianqihoubao.com/lishi/xian/20170224.html,晴/多云,11℃/0℃,东北风≤3级/东北风≤3级
2017年02月25日,http://www.tianqihoubao.com/lishi/xian/20170225.html,多云/多云,12℃/1℃,东北风≤3级/东北风≤3级
2017年02月26日,http://www.tianqihoubao.com/lishi/xian/20170226.html,多云/晴,13℃/1℃,东北风≤3级/东北风≤3级
2017年02月27日,http://www.tianqihoubao.com/lishi/xian/20170227.html,多云/阴,15℃/4℃,东北风≤3级/东北风≤3级
2017年02月28日,http://www.tianqihoubao.com/lishi/xian/20170228.html,阴/阴,14℃/2℃,东北风≤3级/东北风≤3级
2016年09月01日,http://www.tianqihoubao.com/lishi/xian/20160901.html,晴/晴,33℃/20℃,东北风≤3级/东北风≤3级
2016年09月02日,http://www.tianqihoubao.com/lishi/xian/20160902.html,晴/多云,33℃/21℃,东风≤3级/东风≤3级
2016年09月03日,http://www.tianqihoubao.com/lishi/xian/20160903.html,阴/阴,30℃/21℃,东北风≤3级/东北风≤3级
